City,CO,NO2,O3,SO2,PM2.5,PM10
Waco,243.66,6.94,42.92,0.6,4.39,8.27
Fort Worth,260.35,6.17,40.41,0.9,4.8,5.2
Bellingham,307.08,16.45,36.12,0.48,2.0,2.78
Maple Grove,226.97,1.3,80.11,1.15,0.5,0.71
Torrance,1214.98,79.51,8.67,11.21,33.54,56.24
San Diego,527.38,33.59,18.42,2.47,8.33,15.7
Phoenix,734.33,47.98,21.1,2.8,17.02,29.09
Independence,277.04,8.65,52.21,3.87,1.55,2.73
McKinney,250.34,3.73,45.78,0.6,3.71,3.86
Cranston,277.04,8.23,50.78,1.73,1.33,2.25
Peoria,243.66,2.59,61.51,1.31,0.52,0.96
Fontana,211.95,4.2,69.38,0.34,2.6,14.14
Indianapolis,260.35,3.94,56.51,1.06,1.68,2.25
Fall River,267.03,7.2,52.93,2.24,1.02,2.12
Yuba City,330.45,12.68,16.81,0.29,6.04,11.01
Tuscaloosa,211.95,1.82,56.51,0.81,8.74,13.52
Pearland,208.62,3.68,90.12,1.18,3.85,9.82
Palatine,247.0,2.14,64.37,0.54,0.55,0.89
San Angelo,230.31,1.39,56.51,0.27,4.4,4.57
Murfreesboro,243.66,7.28,42.92,4.17,5.71,6.81
Jacksonville,230.31,2.31,101.57,0.72,9.65,11.42
Olathe,250.34,4.54,56.51,1.83,0.71,1.51
Redlands,247.0,6.43,52.21,0.31,3.27,14.69
Franklin,253.68,4.11,43.63,1.64,4.52,5.18
Norwalk,320.44,22.28,60.8,4.95,4.35,9.15
Nampa,393.87,11.48,20.39,0.12,6.66,10.79
Hialeah,216.96,7.2,72.96,1.48,1.93,4.1
San Clemente,190.26,1.56,49.35,0.03,0.5,0.63
Wichita,226.97,2.34,71.53,0.18,0.5,0.97
Redwood City,1081.47,72.66,4.25,3.87,35.39,53.81
Gilbert,383.85,18.34,28.61,1.25,7.53,17.29
Cheektowaga,273.71,7.71,58.65,1.64,0.94,1.25
Plano,250.34,3.98,42.2,0.51,4.02,4.22
Merced,333.79,9.17,13.59,0.08,4.08,7.31
Oshkosh,236.99,1.48,70.1,0.86,0.5,0.78
Salem,433.92,20.39,2.53,0.25,8.55,9.59
Arden-Arcade,714.3,28.45,5.14,1.52,17.43,25.09
Pasadena,263.69,14.22,59.37,1.67,3.28,14.4
Livonia,263.69,4.58,53.64,0.87,0.75,1.11
Lowell,367.17,34.27,28.25,3.37,4.63,5.66
Hesperia,250.34,6.0,58.65,0.24,3.91,18.76
Ogden,263.69,10.97,33.62,0.04,2.93,4.67
Clifton,337.12,22.62,54.36,4.11,5.88,10.26
Plymouth,213.62,1.34,75.82,0.28,0.5,0.9
Whittier,1308.44,58.95,5.28,9.06,35.68,56.52
Toms River,253.68,1.99,91.55,1.89,10.77,15.37
Dale City,273.71,4.54,63.66,1.24,14.95,17.29
Casas Adobes,547.41,28.45,52.21,2.24,18.02,32.37
Fort Collins,230.31,3.77,55.08,0.16,1.08,2.53
Yorba Linda,727.65,45.93,11.8,4.29,17.23,31.85
Hayward,1001.36,82.25,6.62,15.5,33.41,50.77
San Mateo,1081.47,72.66,4.25,3.87,35.39,53.81
Woodbury,243.66,4.84,77.25,1.48,0.6,0.93
Dearborn,273.71,6.6,51.5,1.49,0.96,1.52
Ann Arbor,257.02,2.96,56.51,0.7,0.7,0.9
Cincinnati,287.06,7.54,47.21,3.52,2.31,3.22
Bayamón,226.97,0.21,33.62,0.17,0.65,0.84
South Bend,240.33,2.36,66.52,0.84,0.65,1.11
Hammond,277.04,8.48,59.37,4.05,1.29,3.2
Carson,1214.98,79.51,8.67,11.21,33.54,56.24
Port Saint Lucie,198.6,1.54,94.41,0.38,1.25,3.81
Salinas,347.14,15.94,28.25,0.52,9.09,13.55
Asheville,208.62,2.49,74.39,1.03,4.35,6.35
Washington,310.42,11.14,47.92,2.47,16.08,19.04
New York,343.8,27.76,50.78,6.14,6.6,11.44
Baldwin Park,220.3,6.68,66.52,0.86,2.44,11.73
Union City,961.3,74.03,6.71,6.26,33.91,50.84
Lakeland,211.95,1.93,100.14,0.78,3.37,7.62
Eau Claire,233.65,2.68,76.53,1.19,0.5,0.72
Laguna Niguel,267.03,12.0,70.1,2.56,3.34,15.63
Sterling Heights,263.69,4.41,52.93,0.82,0.78,1.11
College Station,210.29,3.13,60.08,0.47,4.44,7.6
Rockford,243.66,1.65,57.22,0.57,0.5,0.7
Denton,247.0,3.26,50.07,0.98,4.08,4.22
Miami Beach,208.62,2.19,72.96,0.84,1.68,3.3
Modesto,460.63,14.22,8.76,0.53,12.23,19.79
Southfield,260.35,3.81,53.64,0.7,0.7,0.93
Portland,754.36,40.78,0.61,1.04,24.77,28.41
North Little Rock,253.68,3.17,50.07,0.55,3.1,3.35
Yonkers,393.87,43.18,41.49,8.7,7.57,13.35
Atlanta,247.0,8.82,63.66,2.38,9.98,14.54
Cambridge,216.96,3.68,67.23,0.6,0.5,0.62
Wilmington,287.06,7.28,65.09,4.23,12.08,15.59
Fargo,230.31,1.34,70.1,1.01,0.5,0.55
Glendale,403.88,38.39,39.34,2.27,6.54,19.75
Abilene,226.97,2.1,58.65,0.88,4.78,4.89
Bismarck,223.64,2.4,66.52,3.01,0.5,0.76
Lawton,223.64,2.91,64.37,1.65,0.58,0.88
Fremont,700.95,52.78,7.78,6.86,27.02,35.02
Redding,337.12,16.45,18.77,0.12,3.54,5.89
Johnson City,211.95,2.38,70.1,0.87,5.81,7.74
San Tan Valley,303.75,8.57,37.19,0.21,8.45,19.93
Deerfield Beach,206.95,3.0,77.96,1.33,1.89,5.49
Warren,263.69,4.41,52.93,0.82,0.78,1.11
Fresno,627.52,23.31,7.06,1.33,12.44,18.6
Auburn,213.62,1.74,68.67,0.97,10.71,14.55
Kissimmee,216.96,2.4,101.57,0.49,3.66,6.88
Grand Prairie,293.73,13.71,28.25,1.71,6.59,7.25
Chattanooga,208.62,2.83,59.37,0.51,6.12,9.77
Ontario,220.3,5.57,66.52,0.65,2.6,12.28
Newton,373.84,32.56,27.18,4.17,6.48,8.63
Frederick,267.03,4.5,65.09,1.03,10.86,12.5
Visalia,337.12,12.51,20.74,0.14,5.27,7.89
Clarksville,260.35,3.9,53.64,3.1,3.44,3.94
Saint George,223.64,0.54,45.06,0.63,1.32,3.33
Davie,213.62,5.14,74.39,1.74,2.15,5.14
Medford,327.11,28.1,37.91,3.79,3.33,4.18
North Richland Hills,250.34,3.68,45.78,0.78,4.32,4.53
Skokie,257.02,3.94,65.8,0.83,0.75,1.31
Missouri City,250.34,14.22,74.39,6.02,4.88,11.03
Miramar,216.96,7.2,72.96,1.48,1.93,4.1
West Jordan,647.54,45.24,13.59,5.31,20.58,26.42
Evansville,263.69,4.88,46.49,7.99,3.56,4.25
The Woodlands,307.08,32.9,40.05,8.7,10.59,18.98
Town 'n' Country,220.3,6.17,95.84,1.12,3.12,6.81
Rochester Hills,253.68,2.53,54.36,0.36,0.67,0.98
Longmont,287.06,7.88,46.49,0.06,2.57,4.93
Suffolk,263.69,1.39,86.55,1.7,19.59,21.84
Colorado Springs,203.61,2.36,55.79,0.32,1.19,1.97
Lewisville,250.34,4.03,45.06,0.65,4.0,4.2
Portsmouth,220.3,6.43,66.52,2.68,0.5,0.59
Santa Maria,267.03,1.31,37.19,0.38,1.56,1.85
Mount Pleasant,220.3,4.5,31.83,1.58,7.0,8.14
Saint Petersburg,1028.06,42.84,0.0,80.11,23.59,27.9
Schaumburg,247.0,2.14,64.37,0.54,0.55,0.89
Manteca,547.41,22.28,6.71,1.06,15.01,22.37
Spokane Valley,473.98,24.33,5.32,0.36,12.63,16.47
Aurora,243.66,1.71,62.94,0.42,0.5,0.77
Rockville,313.76,10.11,43.99,2.44,14.75,17.24
Roswell,220.3,6.86,68.67,9.78,10.82,15.53
Knoxville,223.64,3.98,65.09,2.56,6.8,9.66
